,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type,lnglat
0,ROOFTOP,"1700 Bedford Ave, Brooklyn, NY 11225, USA",ChIJkbTe5nJbwokRl8Z1mmhAWIc,1700  BEDFORD AVENUE 11 M Brooklyn NY 11225,40.6646109,-73.9577626,1,11225,OK,street_address,"[-73.9577626, 40.6646109]"
1,ROOFTOP,"545 Prospect Pl #1K, Brooklyn, NY 11238, USA",EiwxSywgNTQ1IFByb3NwZWN0IFBsLCBCcm9va2x5biwgTlkgMTEyMzgsIFVTQSIeGhwKFgoUChIJb4QBbZ9bwokRMi3qvN7EOJwSAjFL,545 PROSPECT PL 1K BROOKLYN 11238,40.6757102,-73.958346,1,11238,OK,subpremise,"[-73.9583459999999, 40.6757102]"
2,ROOFTOP,"110 New York Ave #2L, Brooklyn, NY 11216, USA",Ei0yTCwgMTEwIE5ldyBZb3JrIEF2ZSwgQnJvb2tseW4sIE5ZIDExMjE2LCBVU0EiHhocChYKFAoSCYtSr66EW8KJEY_YnCqcD88sEgIyTA,110 NEW YORK AVENUE 2L Brooklyn NY 11216,40.6762881,-73.9474629,1,11216,OK,subpremise,"[-73.9474628999999, 40.6762881]"
3,ROOFTOP,"777 St Marks Ave #5K, Brooklyn, NY 11213, USA",Ei01SywgNzc3IFN0IE1hcmtzIEF2ZSwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCW2_Q12DW8KJEbbqdhS7uEzoEgI1Sw,777  ST MARKS AVENUE 5 K BROOKLYN NY 11213,40.6753907,-73.9463148,1,11213,OK,subpremise,"[-73.9463148, 40.6753907]"
4,ROOFTOP,"788 Nostrand Ave, Brooklyn, NY 11216, USA",ChIJNanzeJ1bwokROwOgiDl0lyU,788 NOSTRAND AVENUE Brooklyn NY 11216,40.6718326,-73.950574,1,11216,OK,premise,"[-73.950574, 40.6718325999999]"
5,ROOFTOP,"377 Montgomery St D11, Brooklyn, NY 11225, USA",Ei9EMTEsIDM3NyBNb250Z29tZXJ5IFN0LCBCcm9va2x5biwgTlkgMTEyMjUsIFVTQSIfGh0KFgoUChIJQcOuPnFbwokRzEy0GcHpqNYSA0QxMQ,377  MONTGOMERY STREET APT D11 Brooklyn NY 11225,40.6656307,-73.9518713,1,11225,OK,subpremise,"[-73.9518713, 40.6656307]"
6,ROOFTOP,"715 St Marks Ave #3G, Brooklyn, NY 11216, USA",Ei0zRywgNzE1IFN0IE1hcmtzIEF2ZSwgQnJvb2tseW4sIE5ZIDExMjE2LCBVU0EiHhocChYKFAoSCQPeE6OcW8KJEVaMXaG8WuqZEgIzRw,715  ST MARKS AVENUE 3G BROOKLYN NY 11216,40.6753896,-73.9489904,1,11216,OK,subpremise,"[-73.9489904, 40.6753896]"
7,ROOFTOP,"1238 Sterling Pl, Brooklyn, NY 11213, USA",ChIJvRo5XIBbwokR9824XnD7SrM,1238  STERLING PLACE BROOKLYN NY 11213,40.6716618,-73.9376928,1,11213,OK,premise,"[-73.9376928, 40.6716618]"
8,ROOFTOP,"1488 Sterling Pl C1, Brooklyn, NY 11213, USA",Ei1DMSwgMTQ4OCBTdGVybGluZyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCRXS_i18XMKJEdSEM7Nw4EO9EgJDMQ,1488  STERLING PLACE C1 BROOKLYN NY 11213,40.6711175,-73.929323,1,11213,OK,subpremise,"[-73.929323, 40.6711175]"
9,ROOFTOP,"1374 Sterling Pl, Brooklyn, NY 11213, USA",ChIJye38_35cwokRPKzxm4lXq1Y,1374 STERLING PLACE BROOKLYN NY 11213,40.6713993,-73.9330659,1,11213,OK,premise,"[-73.9330659, 40.6713993]"
